business_description,nic_code,nic_description
We provide services related to taking and gathering of freshwater aquatic animals.,3122,Taking and gathering of freshwater aquatic animals
We are engaged in taking and gathering of freshwater aquatic animals in our region.,3122,Taking and gathering of freshwater aquatic animals
Our farm cultivates rice and wheat using natural methods.,3211,Fish farming in sea water including farming of marine ornamental fish
We grow seasonal vegetables and sell them to local markets.,3211,Fish farming in sea water including farming of marine ornamental fish
A family-run land where cereals and pulses are harvested.,3211,Fish farming in sea water including farming of marine ornamental fish
"Our business specializes in culture of crustaceans, bivalves, other mollusks and other aquatic animals.",3212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals"
"We provide services related to culture of crustaceans, bivalves, other mollusks and other aquatic animals.",3212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals"
"We are engaged in culture of crustaceans, bivalves, other mollusks and other aquatic animals in our region.",3212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals"
Our business specializes in growing of edible seaweeds.,3213,Growing of edible seaweeds
We provide services related to growing of edible seaweeds.,3213,Growing of edible seaweeds
We are engaged in growing of edible seaweeds in our region.,3213,Growing of edible seaweeds
Our business specializes in aquaculture activities in brackish waters and in salt water filled tanks or.,3214,Aquaculture activities in brackish waters and in salt water filled tanks or
We provide services related to aquaculture activities in brackish waters and in salt water filled tanks or.,3214,Aquaculture activities in brackish waters and in salt water filled tanks or
We are engaged in aquaculture activities in brackish waters and in salt water filled tanks or in our region.,3214,Aquaculture activities in brackish waters and in salt water filled tanks or
Our business specializes in operation of fish hatcheries (marine).,3215,Operation of fish hatcheries (marine)
We provide services related to operation of fish hatcheries (marine).,3215,Operation of fish hatcheries (marine)
We are engaged in operation of fish hatcheries (marine) in our region.,3215,Operation of fish hatcheries (marine)
"Our business specializes in other marine aquaculture, n.e.c..",3219,"Other marine aquaculture, n.e.c."
"We provide services related to other marine aquaculture, n.e.c..",3219,"Other marine aquaculture, n.e.c."
"We are engaged in other marine aquaculture, n.e.c. in our region.",3219,"Other marine aquaculture, n.e.c."
Our farm cultivates rice and wheat using natural methods.,3221,Fish farming in freshwater including farming of freshwater ornamental fish
We grow seasonal vegetables and sell them to local markets.,3221,Fish farming in freshwater including farming of freshwater ornamental fish
A family-run land where cereals and pulses are harvested.,3221,Fish farming in freshwater including farming of freshwater ornamental fish
"Our business specializes in culture of freshwater crustaceans, bivalves, other mollusks and other aquatic.",3222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic"
"We provide services related to culture of freshwater crustaceans, bivalves, other mollusks and other aquatic.",3222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic"
"We are engaged in culture of freshwater crustaceans, bivalves, other mollusks and other aquatic in our region.",3222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic"
Our business specializes in operation of fish hatcheries (fresh-water).,3223,Operation of fish hatcheries (fresh-water)
We provide services related to operation of fish hatcheries (fresh-water).,3223,Operation of fish hatcheries (fresh-water)
We are engaged in operation of fish hatcheries (fresh-water) in our region.,3223,Operation of fish hatcheries (fresh-water)
"Our business specializes in other freshwater aquaculture ctivities, n.e.c..",3229,"Other freshwater aquaculture ctivities, n.e.c."
"We provide services related to other freshwater aquaculture ctivities, n.e.c..",3229,"Other freshwater aquaculture ctivities, n.e.c."
"We are engaged in other freshwater aquaculture ctivities, n.e.c. in our region.",3229,"Other freshwater aquaculture ctivities, n.e.c."
Our business specializes in opencast mining of hard coal.,5101,Opencast mining of hard coal
We provide services related to opencast mining of hard coal.,5101,Opencast mining of hard coal
We are engaged in opencast mining of hard coal in our region.,5101,Opencast mining of hard coal
Our business specializes in belowground mining of hard coal.,5102,Belowground mining of hard coal
We provide services related to belowground mining of hard coal.,5102,Belowground mining of hard coal
We are engaged in belowground mining of hard coal in our region.,5102,Belowground mining of hard coal
"Our business specializes in cleaning, sizing, grading, pulverizing, compressing etc. of coal.",5103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
"We provide services related to cleaning, sizing, grading, pulverizing, compressing etc. of coal.",5103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
"We are engaged in cleaning, sizing, grading, pulverizing, compressing etc. of coal in our region.",5103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
Our business specializes in other operations relating to mining and agglomeration of hard coal.,5109,Other operations relating to mining and agglomeration of hard coal
We provide services related to other operations relating to mining and agglomeration of hard coal.,5109,Other operations relating to mining and agglomeration of hard coal
We are engaged in other operations relating to mining and agglomeration of hard coal in our region.,5109,Other operations relating to mining and agglomeration of hard coal
